ID,Gene.symbol,Gene.title
ILMN_2203491,ECEL1,endothelin converting enzyme like 1
ILMN_1699049,,
ILMN_3277137,,
ILMN_2266184,NCALD,neurocalcin delta
ILMN_1787954,,
ILMN_1770850,PNMA1,paraneoplastic Ma antigen 1
ILMN_3225591,,
ILMN_1850372,,
ILMN_1752562,CXCL5,C-X-C motif chemokine ligand 5
ILMN_3292551,,
ILMN_1727605,FRK,fyn related Src family tyrosine kinase
ILMN_1693827,GRIP2,glutamate receptor interacting protein 2
ILMN_3244281,SNORD1A,"small nucleolar RNA, C/D box 1A"
ILMN_1651464,KDM2B,lysine demethylase 2B
ILMN_3239121,,
ILMN_1739583,ROCK1,Rho associated coiled-coil containing protein kinase 1
ILMN_3277872,,
ILMN_1812478,ZNHIT3,zinc finger HIT-type containing 3
ILMN_1893532,PACRG-AS1,PACRG antisense RNA 1
ILMN_1689474,,
ILMN_1824807,,
ILMN_2174127,DCBLD2,"discoidin, CUB and LCCL domain containing 2"
ILMN_2261876,MDK,midkine (neurite growth-promoting factor 2)
ILMN_1785356,DENND5A,DENN domain containing 5A
ILMN_1708167,CDCP1,CUB domain containing protein 1
ILMN_1713934,LITAF,lipopolysaccharide induced TNF factor
ILMN_1669070,MIPEP,mitochondrial intermediate peptidase
ILMN_3247256,,
ILMN_1758825,ABLIM2,actin binding LIM protein family member 2
ILMN_1802553,MRPS24,mitochondrial ribosomal protein S24
ILMN_1758461,ST8SIA2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2"
ILMN_1880340,,
ILMN_1759017,ZNF333,zinc finger protein 333
ILMN_3257233,,
ILMN_1728883,,
ILMN_3286498,,
ILMN_1681674,,
ILMN_1656149,C11orf80,chromosome 11 open reading frame 80
ILMN_3248334,,
ILMN_3226505,MSL3,male-specific lethal 3 homolog (Drosophila)
ILMN_1763640,NCKAP5L,NCK associated protein 5 like
ILMN_1799467,SAMD9L,sterile alpha motif domain containing 9 like
ILMN_1673113,F2RL1,F2R like trypsin receptor 1
ILMN_1764756,,
ILMN_1761833,SLC40A1,solute carrier family 40 member 1
ILMN_1708131,BHLHB9,"basic helix-loop-helix domain containing, class B, 9"
ILMN_1732985,PHF20L1,PHD finger protein 20-like 1
ILMN_1655904,ROR1,receptor tyrosine kinase like orphan receptor 1
ILMN_3295109,,
ILMN_1672935,HSFY2,"heat shock transcription factor, Y-linked 2"
ILMN_1677684,BTBD16,BTB domain containing 16
ILMN_2372698,RGN,regucalcin
ILMN_1813239,,
ILMN_1725510,DHCR24,24-dehydrocholesterol reductase
ILMN_1693334,P4HA1,prolyl 4-hydroxylase subunit alpha 1
ILMN_2389445,ARHGEF10L,Rho guanine nucleotide exchange factor 10 like
ILMN_1734740,GPR65,G protein-coupled receptor 65
ILMN_1706505,COL5A1,collagen type V alpha 1 chain
ILMN_1809077,RFPL4B,ret finger protein like 4B
ILMN_1689446,EIF3G,eukaryotic translation initiation factor 3 subunit G
ILMN_1686992,TEDDM1,transmembrane epididymal protein 1
ILMN_1745068,GRTP1,growth hormone regulated TBC protein 1
ILMN_2274377,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
ILMN_1760129,EHMT1,euchromatic histone lysine methyltransferase 1
ILMN_1703973,,
ILMN_1702384,ZNF706,zinc finger protein 706
ILMN_1651637,MED14,mediator complex subunit 14
ILMN_1781966,OSBP2,oxysterol binding protein 2
ILMN_1724148,ORAI1,ORAI calcium release-activated calcium modulator 1
ILMN_1805725,B4GALNT1,"beta-1,4-N-acetyl-galactosaminyltransferase 1"
ILMN_1656579,,
ILMN_1699724,GCFC2,GC-rich sequence DNA-binding factor 2
ILMN_1676941,,
ILMN_1806778,UBE2E1,ubiquitin conjugating enzyme E2 E1
ILMN_1763265,CHMP1B,charged multivesicular body protein 1B
ILMN_1842191,,
ILMN_2162860,SLFN11,schlafen family member 11
ILMN_1654268,HMGB2,high mobility group box 2
ILMN_1880457,,
ILMN_2171789,TRAF1,TNF receptor associated factor 1
ILMN_1831763,,
ILMN_1787648,,
ILMN_3238782,,
ILMN_1692045,,
ILMN_1796177,GIPC1,GIPC PDZ domain containing family member 1
ILMN_1652677,FAM89A,family with sequence similarity 89 member A
ILMN_1775568,,
ILMN_1812545,DMC1,DNA meiotic recombinase 1
ILMN_1729591,,
ILMN_1758629,DONSON,downstream neighbor of SON
ILMN_1730887,,
ILMN_3242459,DCTPP1,dCTP pyrophosphatase 1
ILMN_1659843,DNAJC3,DnaJ heat shock protein family (Hsp40) member C3
ILMN_1765526,,
ILMN_1653182,,
ILMN_3308743,MIR125B2,microRNA 125b-2
ILMN_2403889,PRMT5,protein arginine methyltransferase 5
ILMN_1723018,ZNF117,zinc finger protein 117
ILMN_1891455,,
ILMN_1692707,PTRHD1,peptidyl-tRNA hydrolase domain containing 1
ILMN_1666226,IL17RC,interleukin 17 receptor C
ILMN_1676296,PLPP1,phospholipid phosphatase 1
ILMN_1766505,COMMD10,COMM domain containing 10
ILMN_1722894,ZNRD1,zinc ribbon domain containing 1
ILMN_1718152,DEPDC7,DEP domain containing 7
ILMN_2053546,,
ILMN_1849512,,
ILMN_2208413,ARHGAP15,Rho GTPase activating protein 15
ILMN_1836543,,
ILMN_1790797,VPS28,"VPS28, ESCRT-I subunit"
ILMN_1712657,BPTF,bromodomain PHD finger transcription factor
ILMN_1709287,,
ILMN_3249327,,
ILMN_2066088,C1orf64,chromosome 1 open reading frame 64
ILMN_2126706,LMNB1,lamin B1
ILMN_1791530,CPA5,carboxypeptidase A5
ILMN_1689288,LRRN2,leucine rich repeat neuronal 2
ILMN_1680274,,
ILMN_1670800,,
ILMN_3242164,SNORD59B,"small nucleolar RNA, C/D box 59B"
ILMN_2356574,GTF3C2,general transcription factor IIIC subunit 2
ILMN_1687751,BAALC,"brain and acute leukemia, cytoplasmic"
ILMN_3236945,PTPMT1,"protein tyrosine phosphatase, mitochondrial 1"
ILMN_1759184,C19orf48,chromosome 19 open reading frame 48
ILMN_3251616,KANSL1L,KAT8 regulatory NSL complex subunit 1 like
ILMN_1655921,GTF2E1,general transcription factor IIE subunit 1
ILMN_2125675,HNRNPA1P33,heterogeneous nuclear ribonucleoprotein A1 pseudogene 33
ILMN_1857476,,
ILMN_3292013,,
ILMN_1782937,,
ILMN_2153061,FGF20,fibroblast growth factor 20
ILMN_2276811,METTL17,methyltransferase like 17
ILMN_1661306,,
ILMN_1750690,ARFIP2,ADP ribosylation factor interacting protein 2
ILMN_3309980,MIR548B,microRNA 548b
ILMN_1814092,,
ILMN_2160210,EPCAM,epithelial cell adhesion molecule
ILMN_1791332,ATP5O,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit"
ILMN_1789387,KCNE3,potassium voltage-gated channel subfamily E regulatory subunit 3
ILMN_3223953,,
ILMN_3241262,PABPC4L,poly(A) binding protein cytoplasmic 4 like
ILMN_1678052,C19orf24,chromosome 19 open reading frame 24
ILMN_3246448,,
ILMN_1797189,MAP3K12,mitogen-activated protein kinase kinase kinase 12
ILMN_1673953,HRH1,histamine receptor H1
ILMN_1716651,RUNX2,runt related transcription factor 2
ILMN_2147920,BRD7P3,bromodomain containing 7 pseudogene 3
ILMN_1741521,,
ILMN_1660669,,
ILMN_1741017,PIP4K2B,phosphatidylinositol-5-phosphate 4-kinase type 2 beta
ILMN_1690307,TPRKB,TP53RK binding protein
ILMN_1728380,PHOSPHO2,"phosphatase, orphan 2"
ILMN_2301725,PDE8B,phosphodiesterase 8B
ILMN_1674985,TMEM51,transmembrane protein 51
ILMN_2262177,,
ILMN_2186108,DGCR6,DiGeorge syndrome critical region gene 6
ILMN_1692263,,
ILMN_1839190,LINC00854,long intergenic non-protein coding RNA 854
ILMN_1789944,,
ILMN_1659122,KLF10,Kruppel like factor 10
ILMN_1852526,,
ILMN_1763749,GUCA2A,guanylate cyclase activator 2A
ILMN_3271122,,
ILMN_1735463,EXD3,exonuclease 3'-5' domain containing 3
ILMN_1805910,MIER3,MIER family member 3
ILMN_1783170,ING3,inhibitor of growth family member 3
ILMN_2393968,SYNJ1,synaptojanin 1
ILMN_1676449,SLIT2,slit guidance ligand 2
ILMN_1653185,,
ILMN_2412849,SLC5A10,solute carrier family 5 member 10
ILMN_1740606,RTKN2,rhotekin 2
ILMN_2168215,HSFX1,"heat shock transcription factor family, X-linked 1"
ILMN_1690325,NFYA,nuclear transcription factor Y subunit alpha
ILMN_1788170,,
ILMN_1808272,KCNJ10,potassium voltage-gated channel subfamily J member 10
ILMN_1724139,TMEM123,transmembrane protein 123
ILMN_1751044,,
ILMN_1729319,USP7,ubiquitin specific peptidase 7
ILMN_2170080,CIDECP,cell death-inducing DFFA-like effector c pseudogene
ILMN_2171596,,
ILMN_1668538,,
ILMN_1745733,,
ILMN_2330243,NUDT1,nudix hydrolase 1
ILMN_3245093,,
ILMN_2344216,STX2,syntaxin 2
ILMN_2115534,ADGRG4,adhesion G protein-coupled receptor G4
ILMN_2221336,QRFPR,pyroglutamylated RFamide peptide receptor
ILMN_1735679,DHX38,DEAH-box helicase 38
ILMN_1717029,RTP5,receptor transporter protein 5 (putative)
ILMN_1704497,KRT25,keratin 25
ILMN_1698668,,
ILMN_3249262,,
ILMN_1689634,,
ILMN_1679073,,
ILMN_3232447,,
ILMN_1865764,ZMAT3,zinc finger matrin-type 3
ILMN_1860839,,
ILMN_1683052,PTRH2,peptidyl-tRNA hydrolase 2
ILMN_1687840,ABCB7,ATP binding cassette subfamily B member 7
ILMN_1684227,GPR146,G protein-coupled receptor 146
ILMN_1783702,MORC3,MORC family CW-type zinc finger 3
ILMN_3238893,,
ILMN_1801417,,
ILMN_1679322,SH2D4A,SH2 domain containing 4A
ILMN_2286334,U2SURP,U2 snRNP associated SURP domain containing
ILMN_2064655,CXorf40A,chromosome X open reading frame 40A
ILMN_1785765,TM9SF2,transmembrane 9 superfamily member 2
ILMN_1676321,,
ILMN_2147503,ALG13,"ALG13, UDP-N-acetylglucosaminyltransferase subunit"
ILMN_3238950,SNORD112,"small nucleolar RNA, C/D box 112"
ILMN_1759157,,
ILMN_1725139,CA9,carbonic anhydrase 9
ILMN_1667748,ANKRD33,ankyrin repeat domain 33
ILMN_1665092,,
ILMN_2293067,PM20D1,peptidase M20 domain containing 1
ILMN_1799728,ADAM15,ADAM metallopeptidase domain 15
ILMN_1780170,APOD,apolipoprotein D
ILMN_2344907,FBXO43,F-box protein 43
ILMN_1791232,SPRED2,sprouty related EVH1 domain containing 2
ILMN_3240247,NOP10,NOP10 ribonucleoprotein
ILMN_1659769,MRAP,melanocortin 2 receptor accessory protein
ILMN_2295879,NGDN,neuroguidin
ILMN_1772155,ZNF536,zinc finger protein 536
ILMN_1810657,STXBP1,syntaxin binding protein 1
ILMN_1743506,CCDC137,coiled-coil domain containing 137
ILMN_1789809,RPL13AP6,ribosomal protein L13a pseudogene 6
ILMN_1685496,RGS7,regulator of G-protein signaling 7
ILMN_1689720,PPP2R3B,protein phosphatase 2 regulatory subunit B''beta
ILMN_1809323,TMEM246,transmembrane protein 246
ILMN_1707433,,
ILMN_2177156,SOX2,SRY-box 2
ILMN_1668134,GSTM1,glutathione S-transferase mu 1
ILMN_2126055,ASB5,ankyrin repeat and SOCS box containing 5
ILMN_1801999,,
ILMN_1767595,,
ILMN_1653042,HSD3B7,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7"
ILMN_1806010,CUL9,cullin 9
ILMN_1884150,,
ILMN_1880849,,
ILMN_1677464,LGR6,leucine rich repeat containing G protein-coupled receptor 6
ILMN_3240173,MTSS1L,metastasis suppressor 1 like
ILMN_1863858,,
ILMN_3225824,,
ILMN_1699071,MAP3K7CL,MAP3K7 C-terminal like
ILMN_1786197,NR2F1,nuclear receptor subfamily 2 group F member 1
ILMN_1806651,PARP8,poly(ADP-ribose) polymerase family member 8
ILMN_1679532,GRM3,glutamate metabotropic receptor 3
ILMN_2218277,RPS2,ribosomal protein S2
ILMN_1758232,GGCX,gamma-glutamyl carboxylase
ILMN_1838830,ELFN2,extracellular leucine rich repeat and fibronectin type III domain containing 2
ILMN_1652753,PAAF1,proteasomal ATPase associated factor 1
ILMN_1793384,JAK1,Janus kinase 1
ILMN_1667432,HYAL3,hyaluronoglucosaminidase 3
ILMN_3308295,MIR205,microRNA 205
ILMN_2410938,SMOC1,SPARC related modular calcium binding 1
ILMN_1725105,EEF1E1,eukaryotic translation elongation factor 1 epsilon 1
ILMN_1808731,LBX2,ladybird homeobox 2
ILMN_1773865,HSPA5,heat shock protein family A (Hsp70) member 5
ILMN_2167758,CILP,cartilage intermediate layer protein
ILMN_1892403,SNORD13,"small nucleolar RNA, C/D box 13"
ILMN_1790595,TFAP2E,transcription factor AP-2 epsilon
ILMN_2392818,RTKN,rhotekin
ILMN_2171588,SLC6A1,solute carrier family 6 member 1
ILMN_1893083,,
ILMN_1684541,,
ILMN_3243682,FAM213B,family with sequence similarity 213 member B
ILMN_1701918,,
ILMN_1709637,SLC5A10,solute carrier family 5 member 10
ILMN_1795906,PCBD1,pterin-4 alpha-carbinolamine dehydratase 1
ILMN_1665501,,
ILMN_1667589,ZNF283,zinc finger protein 283
ILMN_1806657,,
ILMN_2147114,PSPH,phosphoserine phosphatase
ILMN_2096654,COMMD4,COMM domain containing 4
ILMN_3255087,,
ILMN_1749996,KCNN2,potassium calcium-activated channel subfamily N member 2
ILMN_2141398,VEZT,"vezatin, adherens junctions transmembrane protein"
ILMN_1665994,PMEL,premelanosome protein
ILMN_1761281,,
ILMN_1810857,S100A5,S100 calcium binding protein A5
ILMN_3247679,SNORA52,"small nucleolar RNA, H/ACA box 52"
ILMN_2179726,CCDC189,coiled-coil domain containing 189
ILMN_3241173,,
ILMN_1665960,,
ILMN_1809566,ZSCAN16,zinc finger and SCAN domain containing 16
ILMN_3272237,,
ILMN_1687213,FAM167A,family with sequence similarity 167 member A
ILMN_1680955,AURKA,aurora kinase A
ILMN_1700067,BTN3A2,butyrophilin subfamily 3 member A2
ILMN_2197846,HADHB,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit"
ILMN_1727402,HCLS1,hematopoietic cell-specific Lyn substrate 1
ILMN_3224204,PSMG4,proteasome assembly chaperone 4
ILMN_1804597,DCAF17,DDB1 and CUL4 associated factor 17
ILMN_1707084,UBE2D4,ubiquitin conjugating enzyme E2 D4 (putative)
ILMN_2196479,XRN2,5'-3' exoribonuclease 2
ILMN_1652701,,
ILMN_3301065,,
ILMN_2044572,TBC1D20,TBC1 domain family member 20
ILMN_2388272,MED24,mediator complex subunit 24
ILMN_1796922,,
ILMN_2403542,CATSPER2,cation channel sperm associated 2
ILMN_1655525,FLCN,folliculin
ILMN_1653828,CHFR,"checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase"
ILMN_1766678,NKX2-6,NK2 homeobox 6
ILMN_1676983,ZNF300,zinc finger protein 300
ILMN_1675640,OAS1,2'-5'-oligoadenylate synthetase 1
ILMN_3208430,,
ILMN_1750861,PML,promyelocytic leukemia
ILMN_1763452,EVI2B,ecotropic viral integration site 2B
ILMN_1686052,,
ILMN_3234751,SNORD103A,"small nucleolar RNA, C/D box 103A"
ILMN_1897107,,
ILMN_1780618,TMEM192,transmembrane protein 192
ILMN_3248575,SNORA80E,"small nucleolar RNA, H/ACA box 80E"
ILMN_3244079,,
ILMN_3215212,,
ILMN_2215989,NEFM,"neurofilament, medium polypeptide"
ILMN_2399694,NOMO2,NODAL modulator 2
ILMN_3200661,,
ILMN_1833009,,
ILMN_1674038,CTSD,cathepsin D
ILMN_1741260,MDN1,midasin AAA ATPase 1
ILMN_1754233,ITGB1,integrin subunit beta 1
ILMN_1744628,FDX1L,ferredoxin 1 like
ILMN_2362847,PPARA,peroxisome proliferator activated receptor alpha
ILMN_2250521,INS-IGF2,INS-IGF2 readthrough
ILMN_3243142,KAT2B,lysine acetyltransferase 2B
ILMN_2378316,NUP58,nucleoporin 58
ILMN_3292163,,
ILMN_3242608,,
ILMN_2359945,CES1,carboxylesterase 1
ILMN_1758784,ATP2C1,ATPase secretory pathway Ca2+ transporting 1
ILMN_1680208,,
ILMN_2214473,ARHGEF35,Rho guanine nucleotide exchange factor 35
ILMN_1764243,,
ILMN_1665865,IGFBP4,insulin like growth factor binding protein 4
ILMN_3310643,VTRNA2-1,vault RNA 2-1
ILMN_2310896,NLRP3,NLR family pyrin domain containing 3
ILMN_1801762,PFDN4,prefoldin subunit 4
ILMN_2077886,C1orf109,chromosome 1 open reading frame 109
ILMN_1775163,PDE1A,phosphodiesterase 1A
ILMN_1680354,,
ILMN_3254992,,
ILMN_3246299,,
ILMN_3243606,SAMD15,sterile alpha motif domain containing 15
ILMN_1703697,LANCL1,LanC like 1
ILMN_1674882,GDNF,glial cell derived neurotrophic factor
ILMN_1783672,SLC30A10,solute carrier family 30 member 10
ILMN_1709036,,
ILMN_2049766,NFE2L3,"nuclear factor, erythroid 2 like 3"
ILMN_1766551,CPA3,carboxypeptidase A3
ILMN_1871216,,
ILMN_1780952,OR5AP2,olfactory receptor family 5 subfamily AP member 2
ILMN_1665660,,
ILMN_2392940,,
ILMN_1712530,AKAP1,A-kinase anchoring protein 1
ILMN_1791483,PDE4D,phosphodiesterase 4D
ILMN_3276209,,
ILMN_1678949,HSPBP1,HSPA (Hsp70) binding protein 1
ILMN_1710284,HES1,hes family bHLH transcription factor 1
ILMN_1679587,,
ILMN_1755732,ARMC9,armadillo repeat containing 9
ILMN_1654001,SMC6,structural maintenance of chromosomes 6
ILMN_3227440,,
ILMN_1804851,MRPS17,mitochondrial ribosomal protein S17
ILMN_3309504,MIR96,microRNA 96
ILMN_1715584,SOCS5,suppressor of cytokine signaling 5
ILMN_2349444,NUDT2,nudix hydrolase 2
ILMN_1775012,BBS7,Bardet-Biedl syndrome 7
ILMN_1677794,BRCA2,"BRCA2, DNA repair associated"
ILMN_2388263,HEPACAM2,HEPACAM family member 2
ILMN_1727045,RASGRP3,RAS guanyl releasing protein 3
ILMN_2282729,PDE5A,phosphodiesterase 5A
ILMN_3247232,,
ILMN_3249088,,
ILMN_1681829,ZNF606,zinc finger protein 606
ILMN_1877455,,
ILMN_1652826,LRRC17,leucine rich repeat containing 17
ILMN_1812607,Mar-08,membrane associated ring-CH-type finger 8
ILMN_2053902,,
ILMN_3277905,,
ILMN_1747184,PUS7L,pseudouridylate synthase 7 like
ILMN_1789913,SMPDL3B,sphingomyelin phosphodiesterase acid like 3B
ILMN_1873946,,
ILMN_3249343,FIGNL2,fidgetin like 2
ILMN_1757506,ELN,elastin
ILMN_3236452,FAM187B,family with sequence similarity 187 member B
ILMN_1792076,TRERF1,transcriptional regulating factor 1
ILMN_1907861,LINC01479,long intergenic non-protein coding RNA 1479
ILMN_1719303,P4HB,prolyl 4-hydroxylase subunit beta
ILMN_1813039,,
ILMN_3301052,,
ILMN_1813489,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase"
ILMN_2306077,USP33,ubiquitin specific peptidase 33
ILMN_1679535,WDR78,WD repeat domain 78
ILMN_1683204,GMEB2,glucocorticoid modulatory element binding protein 2
ILMN_2228873,STARD3NL,STARD3 N-terminal like
ILMN_1765779,ADAM17,ADAM metallopeptidase domain 17
ILMN_1768575,SFTPD,surfactant protein D
ILMN_2400613,SNX7,sorting nexin 7
ILMN_1665285,,
ILMN_2042343,MRPL42P5,mitochondrial ribosomal protein L42 pseudogene 5
ILMN_2382121,OCRL,"OCRL, inositol polyphosphate-5-phosphatase"
ILMN_2378376,CYB561,cytochrome b561
ILMN_2126423,ZNF480,zinc finger protein 480
ILMN_2414848,TBRG4,transforming growth factor beta regulator 4
ILMN_3246273,RNU1-3,"RNA, U1 small nuclear 3"
ILMN_3223798,ZNF84,zinc finger protein 84
ILMN_1751587,,
ILMN_1672854,,
ILMN_1790778,PNMA2,paraneoplastic Ma antigen 2
ILMN_1746676,CLDN8,claudin 8
ILMN_3243999,,
ILMN_1758812,LDHAL6A,lactate dehydrogenase A like 6A
ILMN_3227732,,
ILMN_1738993,PIK3C2G,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma
ILMN_3308778,MIR488,microRNA 488
ILMN_1667453,HINFP,histone H4 transcription factor
ILMN_1789599,NBL1,"neuroblastoma 1, DAN family BMP antagonist"
ILMN_1788803,,
ILMN_1754312,KLHDC7A,kelch domain containing 7A
ILMN_3236049,SNORD12,"small nucleolar RNA, C/D box 12"
ILMN_1665554,BRF2,"BRF2, RNA polymerase III transcription initiation factor 50 kDa subunit"
ILMN_3245829,AQP7P1,aquaporin 7 pseudogene 1
ILMN_1821473,,
ILMN_1718042,ZNF549,zinc finger protein 549
ILMN_1769658,LYSMD4,LysM domain containing 4
ILMN_1738110,PRAMEF17,PRAME family member 17
ILMN_1695812,KRT72,keratin 72
ILMN_1671072,,
ILMN_2257607,STARD13,StAR related lipid transfer domain containing 13
ILMN_1796629,EDNRA,endothelin receptor type A
ILMN_1695792,CUL4A,cullin 4A
ILMN_1690907,CCR6,C-C motif chemokine receptor 6
ILMN_1674138,,
ILMN_1753773,ANAPC11,anaphase promoting complex subunit 11
ILMN_1659462,DUSP23,dual specificity phosphatase 23
ILMN_1773819,,
ILMN_1654497,ATAD1,"ATPase family, AAA domain containing 1"
ILMN_1749915,RSRP1,arginine and serine rich protein 1
ILMN_1760503,ZBBX,zinc finger B-box domain containing
ILMN_2067852,SLC30A1,solute carrier family 30 member 1
ILMN_2142284,SLC25A43,solute carrier family 25 member 43
ILMN_2067656,CCND2,cyclin D2
ILMN_3176771,,
ILMN_1684461,CADPS2,calcium dependent secretion activator 2
ILMN_2374115,TFAP2A,transcription factor AP-2 alpha
ILMN_1768202,ANKRD24,ankyrin repeat domain 24
ILMN_2081645,RSPO2,R-spondin 2
ILMN_1910334,,
ILMN_1756676,PHF19,PHD finger protein 19
ILMN_1740146,GPR83,G protein-coupled receptor 83
ILMN_1808591,,
ILMN_3237433,,
ILMN_3180722,SKOR2,SKI family transcriptional corepressor 2
ILMN_1728803,HMP19,HMP19 protein
ILMN_2396786,ZNF266,zinc finger protein 266
ILMN_1783636,COX6A1,cytochrome c oxidase subunit 6A1
ILMN_2372915,P2RY2,purinergic receptor P2Y2
ILMN_1716384,ATL2,atlastin GTPase 2
ILMN_1806099,RXFP4,relaxin/insulin like family peptide receptor 4
ILMN_1866389,,
ILMN_1904242,CD9,CD9 molecule
ILMN_1670245,KLF3,Kruppel like factor 3
ILMN_1873766,,
ILMN_3262876,,
ILMN_3301440,,
ILMN_1665428,GSDMD,gasdermin D
ILMN_1767662,CERS6,ceramide synthase 6
ILMN_1657009,NFASC,neurofascin
ILMN_1680685,,
ILMN_2415786,CD96,CD96 molecule
ILMN_1773472,,
ILMN_1777998,ARHGAP25,Rho GTPase activating protein 25
ILMN_3213568,,
ILMN_1658173,ZNF418,zinc finger protein 418
ILMN_1675206,,
ILMN_1769319,CNBP,CCHC-type zinc finger nucleic acid binding protein
ILMN_1799106,Mar-01,mitochondrial amidoxime reducing component 1
ILMN_1807303,,
ILMN_1685785,IGLON5,IgLON family member 5
ILMN_1874519,LINC01413,long intergenic non-protein coding RNA 1413
ILMN_2186597,RPP21,ribonuclease P/MRP subunit p21
ILMN_1776515,MPPE1,metallophosphoesterase 1
ILMN_2355033,KIAA1147,KIAA1147
ILMN_1714511,PARK2,parkin RBR E3 ubiquitin protein ligase
ILMN_1797786,MAPK12,mitogen-activated protein kinase 12
ILMN_3281563,,
ILMN_1684378,NAIP,NLR family apoptosis inhibitory protein
ILMN_2311989,CUTA,cutA divalent cation tolerance homolog
ILMN_3213854,,
ILMN_3292448,BTNL8,butyrophilin like 8
ILMN_1682930,SIPA1,signal-induced proliferation-associated 1
ILMN_1708787,ZNF627,zinc finger protein 627
ILMN_1743303,TTC1,tetratricopeptide repeat domain 1
ILMN_2081465,APLP2,amyloid beta precursor like protein 2
ILMN_3231439,PAXIP1-AS2,PAXIP1 antisense RNA 2
ILMN_1716238,PSG6,pregnancy specific beta-1-glycoprotein 6
ILMN_1882262,,
ILMN_1843138,,
ILMN_1654249,,
ILMN_1799381,SNORD14A,"small nucleolar RNA, C/D box 14A"
ILMN_2382724,METTL23,methyltransferase like 23
ILMN_1814652,NLRP5,NLR family pyrin domain containing 5
ILMN_2365528,HAUS8,HAUS augmin like complex subunit 8
ILMN_1769546,RIN2,Ras and Rab interactor 2
ILMN_1789596,ETV6,ETS variant 6
ILMN_3211906,,
ILMN_3296979,,
ILMN_1742276,RBM48,RNA binding motif protein 48
ILMN_1723706,GRAMD4,GRAM domain containing 4
ILMN_1685954,HMBS,hydroxymethylbilane synthase
ILMN_3292853,,
ILMN_1656280,,
ILMN_1715496,HTR2A,5-hydroxytryptamine receptor 2A
ILMN_3238006,,
ILMN_1695663,,
ILMN_1669103,LRRC1,leucine rich repeat containing 1
ILMN_2214098,BIVM,"basic, immunoglobulin-like variable motif containing"
ILMN_1866290,LOC102467079,uncharacterized LOC102467079
ILMN_2067370,SNRPF,small nuclear ribonucleoprotein polypeptide F
ILMN_1668514,PIP5K1C,phosphatidylinositol-4-phosphate 5-kinase type 1 gamma
ILMN_3249520,,
ILMN_1765109,,
ILMN_2101832,LAPTM4B,lysosomal protein transmembrane 4 beta
ILMN_1742381,,
ILMN_1693939,OIT3,oncoprotein induced transcript 3
ILMN_2278819,PDE7A,phosphodiesterase 7A
ILMN_1669302,,
ILMN_1721558,,
ILMN_3250273,TMOD2,tropomodulin 2
ILMN_1683781,ADAMTS15,ADAM metallopeptidase with thrombospondin type 1 motif 15
ILMN_1743361,PTGER3,prostaglandin E receptor 3
ILMN_3251531,ZNF793,zinc finger protein 793
ILMN_3309224,MIR23A,microRNA 23a
ILMN_1695506,DKK2,dickkopf WNT signaling pathway inhibitor 2
ILMN_1707236,HCCS,holocytochrome c synthase
ILMN_1651430,CTRB2,chymotrypsinogen B2
ILMN_1759422,,
ILMN_1725235,CDK5RAP2,CDK5 regulatory subunit associated protein 2
ILMN_2090641,FAM110C,family with sequence similarity 110 member C
ILMN_1651288,,
ILMN_1718672,NHP2,NHP2 ribonucleoprotein
ILMN_1685174,CPB1,carboxypeptidase B1
ILMN_1711465,HGSNAT,heparan-alpha-glucosaminide N-acetyltransferase
ILMN_2049021,PTTG3P,"pituitary tumor-transforming 3, pseudogene"
ILMN_2151541,DNAJC10,DnaJ heat shock protein family (Hsp40) member C10
ILMN_1805464,,
ILMN_2207720,ITM2B,integral membrane protein 2B
ILMN_1862889,,
ILMN_1752035,,
ILMN_1680925,SLC9A3R1,SLC9A3 regulator 1
ILMN_1713390,,
ILMN_3299416,RPEL1,ribulose-5-phosphate-3-epimerase like 1
ILMN_1679176,CLCA4,chloride channel accessory 4
ILMN_1666444,RBMS1,RNA binding motif single stranded interacting protein 1
ILMN_3310855,MIR1183,microRNA 1183
ILMN_1741841,KIAA1429,KIAA1429
ILMN_2318811,RANBP3,RAN binding protein 3
ILMN_2211479,MAEL,maelstrom spermatogenic transposon silencer
ILMN_1730795,,
ILMN_3220888,,
ILMN_1786303,LILRA3,leukocyte immunoglobulin like receptor A3
ILMN_1719433,CD1D,CD1d molecule
ILMN_2397024,SPOP,speckle type BTB/POZ protein
ILMN_1666276,,
ILMN_3247370,,
ILMN_3281627,,
ILMN_1661624,ARSD,arylsulfatase D
ILMN_1719570,BICC1,BicC family RNA binding protein 1
ILMN_1695740,C1QTNF8,C1q and tumor necrosis factor related protein 8
ILMN_1797806,CGGBP1,CGG triplet repeat binding protein 1
ILMN_1915498,,
ILMN_1764120,,
ILMN_1759952,PSMA5,proteasome subunit alpha 5
ILMN_1821321,,
ILMN_1732071,HIST2H2BE,"histone cluster 2, H2be"
