ID,GB_ACC,Gene Symbol
204493_at,NM_001196,BID
204496_at,NM_014574,STRN3
204497_at,AB011092,ADCY9
204503_at,NM_001988,EVPL
204504_s_at,NM_003609,HIRIP3
204505_s_at,NM_001978,DMTN
204506_at,AL544951,PPP3R1
204510_at,NM_003503,CDC7
204512_at,NM_002114,HIVEP1
204514_at,NM_001384,DPH2
204515_at,NM_000862,HSD3B1
204516_at,BG390306,ATXN7
204517_at,BE962749,PPIC
204519_s_at,NM_015993,PLLP
204523_at,NM_003440,ZNF140
204527_at,NM_000259,MYO5A
204531_s_at,NM_007295,BRCA1
204533_at,NM_001565,CXCL10
204534_at,NM_000638,SEBOX /// VTN
204537_s_at,NM_004961,GABRE /// MIR224 /// MIR452
204540_at,NM_001958,EEF1A2
204541_at,NM_012429,SEC14L2
204542_at,NM_006456,ST6GALNAC2
204543_at,NM_005312,RAPGEF1
204544_at,NM_007216,HPS5
204547_at,NM_006822,RAB40B
204548_at,NM_000349,STAR
204550_x_at,NM_000561,GSTM1
204551_s_at,NM_001622,AHSG
204552_at,AA355179,INPP4A
204554_at,AL109928,PPP1R3D
204558_at,NM_003579,RAD54L
204559_s_at,NM_016199,LSM7
204560_at,NM_004117,FKBP5
204561_x_at,NM_000483,APOC2 /// APOC4 /// APOC4-APOC2
204563_at,NM_000655,SELL
204566_at,NM_003620,PPM1D
204567_s_at,NM_004915,ABCG1
204570_at,NM_001864,COX7A1
204573_at,NM_021151,CROT
204575_s_at,U38321,MMP19
204579_at,NM_002011,FGFR4
204580_at,NM_002426,MMP12
204582_s_at,NM_001648,KLK3
204584_at,AI653981,L1CAM
204586_at,NM_003458,BSN
204587_at,NM_003951,SLC25A14
204588_s_at,NM_003982,SLC7A7
204590_x_at,NM_022916,VPS33A
204591_at,NM_006614,CHL1
204592_at,NM_001365,DLG4
204595_s_at,AI300520,STC1
204599_s_at,NM_006428,MRPL28
204602_at,NM_012242,DKK1
204603_at,NM_003686,EXO1
204604_at,NM_012395,CDK14
204605_at,NM_006568,CGRRF1
204606_at,NM_002989,CCL21
204607_at,NM_005518,HMGCS2
204608_at,NM_000048,ASL
204610_s_at,NM_006848,CCDC85B
204612_at,NM_006823,PKIA
204613_at,NM_002661,PLCG2
204614_at,NM_002575,SERPINB2
204616_at,NM_006002,UCHL3
204618_s_at,NM_005254,GABPB1
204620_s_at,NM_004385,VCAN
204623_at,NM_003226,TFF3
204624_at,NM_000053,ATP7B
204628_s_at,NM_000212,ITGB3
204630_s_at,NM_004871,GOSR1
204631_at,NM_017534,MYH2
204632_at,NM_003942,RPS6KA4
204634_at,NM_003157,NEK4
204635_at,NM_004755,RPS6KA5
204636_at,NM_000494,COL17A1
204637_at,NM_000735,CGA
204638_at,NM_001611,ACP5
204639_at,NM_000022,ADA
204641_at,NM_002497,NEK2
204642_at,NM_001400,S1PR1
204646_at,NM_000110,DPYD
204647_at,NM_004838,HOMER3
204649_at,NM_005480,TROAP
204650_s_at,NM_006051,APBB3 /// MIR6831
204651_at,AW003022,NRF1
204653_at,BF343007,TFAP2A
204655_at,NM_002985,CCL5
204657_s_at,NM_003028,SHB
204658_at,NM_013293,TRA2A
204659_s_at,AF124604,GFER
204663_at,NM_006680,ME3
204664_at,NM_001632,ALPP
204667_at,NM_004496,FOXA1
204668_at,AL031670,RNF24
204670_x_at,NM_002125,HLA-DRB1 /// HLA-DRB4 /// LOC100996809
204673_at,NM_002457,MUC2
204675_at,NM_001047,SRD5A1
204677_at,NM_001795,CDH5
204679_at,NM_002245,KCNK1
204681_s_at,NM_012294,RAPGEF5
204682_at,NM_000428,LTBP2
204683_at,NM_000873,ICAM2
204684_at,NM_002522,NPTX1
204685_s_at,R52647,ATP2B2
204686_at,NM_005544,IRS1
204688_at,NM_003919,SGCE
204689_at,NM_001529,HHEX
204690_at,NM_004853,STX8
204693_at,NM_007061,CDC42EP1
204694_at,NM_001134,AFP
204695_at,AI343459,CDC25A
204697_s_at,NM_001275,CHGA
204699_s_at,N30910,DIEXF
204702_s_at,NM_004289,NFE2L3
204703_at,NM_006531,IFT88
204706_at,NM_019892,INPP5E
204708_at,NM_002747,MAPK4
204709_s_at,NM_004856,KIF23
204712_at,NM_007191,WIF1
204714_s_at,NM_000130,F5
204715_at,NM_015368,PANX1
204716_at,NM_005436,CCDC6
204717_s_at,AF034102,SLC29A2
204718_at,NM_004445,EPHB6
204719_at,NM_007168,ABCA8
204723_at,AB032984,SCN3B
204724_s_at,NM_001853,COL9A3
204725_s_at,NM_006153,NCK1
204726_at,NM_001257,CDH13
204729_s_at,NM_004603,STX1A
204731_at,NM_003243,TGFBR3
204732_s_at,AI021991,TRIM23
204733_at,NM_002774,KLK6
204734_at,NM_002275,KRT15
204735_at,NM_006202,PDE4A
204736_s_at,NM_001897,CSPG4
204737_s_at,NM_000257,MYH6 /// MYH7
204740_at,NM_006314,CNKSR1
204742_s_at,NM_015032,PDS5B
204743_at,NM_013259,TAGLN3
204744_s_at,NM_013417,IARS
204746_s_at,NM_012407,PICK1
204747_at,NM_001549,IFIT3
204748_at,NM_000963,PTGS2
204749_at,NM_004538,NAP1L3
204750_s_at,BF196457,DSC2
204753_s_at,AI810712,HLF
204759_at,NM_001268,RCBTB2
204762_s_at,BE670563,GNAO1
204765_at,NM_005435,ARHGEF5
204766_s_at,NM_002452,NUDT1
204767_s_at,BC000323,FEN1
204769_s_at,M74447,TAP2
204771_s_at,AI632304,TTF1
204773_at,NM_004512,IL11RA
204774_at,NM_014210,EVI2A
204775_at,NM_005441,CHAF1B
204776_at,NM_003248,THBS4
204777_s_at,NM_002371,MAL
204780_s_at,AA164751,FAS
204783_at,AI911434,MLF1
204786_s_at,L41944,IFNAR2
204787_at,NM_007268,VSIG4
204788_s_at,NM_000309,PPOX
204789_at,NM_005892,FMNL1
204790_at,NM_005904,SMAD7
204791_at,NM_003297,NR2C1
204794_at,NM_004418,DUSP2
204795_at,NM_025263,PRR3
204797_s_at,NM_004434,EML1
204798_at,NM_005375,MYB
204802_at,NM_004165,RRAD
204804_at,NM_003141,TRIM21
204805_s_at,NM_006026,H1FX
204807_at,BF224146,TMEM5
204809_at,NM_006660,CLPX
204810_s_at,NM_001824,CKM
204811_s_at,NM_006030,CACNA2D2
204812_at,NM_004724,ZW10
204813_at,NM_002753,MAPK10
204814_at,NM_003716,CADPS
204818_at,NM_002153,HSD17B2
204819_at,NM_004463,FGD1
204820_s_at,NM_006994,BTN3A2 /// BTN3A3
204822_at,NM_003318,TTK
204824_at,NM_004435,ENDOG
204826_at,NM_001761,CCNF
204828_at,NM_004584,RAD9A
204829_s_at,NM_000803,FOLR2
204830_x_at,NM_002781,PSG5
204831_at,R59697,CDK8
204834_at,NM_006682,FGL2
204835_at,NM_016937,POLA1
204836_at,NM_000170,GLDC
204838_s_at,NM_014381,MLH3
204841_s_at,NM_003566,EEA1
204844_at,L12468,ENPEP
204846_at,NM_000096,CP
204847_at,NM_014415,ZBTB11
204848_x_at,NM_000559,HBG1 /// HBG2
204849_at,NM_006602,TCFL5
204850_s_at,NM_000555,DCX
204852_s_at,NM_002832,PTPN7
204853_at,NM_006190,ORC2
204855_at,NM_002639,SERPINB5
204856_at,NM_014256,B3GNT3
204857_at,NM_003550,MAD1L1
204858_s_at,NM_001953,TYMP
204859_s_at,NM_013229,APAF1
204860_s_at,AI817801,NAIP
204862_s_at,NM_002513,NME3
204864_s_at,NM_002184,IL6ST
204865_at,NM_005181,CA3
204867_at,NM_005258,GCHFR
204868_at,NM_001545,ICT1
204869_at,AL031664,PCSK2
204871_at,NM_006980,MTERF1
204873_at,NM_000466,PEX1
204875_s_at,NM_001500,GMDS
204878_s_at,NM_004783,TAOK2
204880_at,NM_002412,MGMT
204881_s_at,NM_003358,UGCG
204884_s_at,NM_004507,HUS1
204885_s_at,NM_005823,MSLN
204887_s_at,NM_014264,PLK4
204888_s_at,AA772093,NEURL1
204891_s_at,NM_005356,LCK
204892_x_at,NM_001402,EEF1A1
204893_s_at,NM_004799,ZFYVE9
204894_s_at,NM_003734,AOC3
204897_at,AA897516,PTGER4
204905_s_at,NM_004280,EEF1E1
204906_at,BC002363,RPS6KA2
204908_s_at,NM_005178,BCL3 /// MIR8085
204909_at,NM_004397,DDX6
204910_s_at,AI419307,TRIM3
204912_at,NM_001558,IL10RA
204915_s_at,AB028641,SOX11
204916_at,NM_005855,RAMP1
204918_s_at,NM_004529,MLLT3
204919_at,NM_007244,PRH1-PRR4 /// PRR4
204920_at,AF154830,CPS1
204921_at,NM_001481,GAS8
204924_at,NM_003264,TLR2
204928_s_at,NM_019848,SLC10A3
204929_s_at,NM_006634,VAMP5
204931_at,NM_003206,TCF21
204932_at,BF433902,TNFRSF11B
204934_s_at,NM_002151,HPN
204936_at,NM_004579,MAP4K2
204937_s_at,NM_016325,ZNF274
204940_at,NM_002667,PLN
204942_s_at,NM_000695,ALDH3B2
204943_at,NM_021641,ADAM12
204944_at,NM_002841,PTPRG
204945_at,NM_002846,PTPRN
204949_at,NM_002162,ICAM3
204951_at,NM_004310,RHOH
204952_at,NM_014400,LYPD3
204954_s_at,NM_004714,DYRK1B
204955_at,NM_006307,SRPX
204956_at,NM_002451,MTAP
204957_at,NM_002553,ORC5
204958_at,NM_004073,PLK3
204959_at,NM_002432,MNDA
204960_at,NM_005608,PTPRCAP
204961_s_at,NM_000265,NCF1 /// NCF1B /// NCF1C
204962_s_at,NM_001809,CENPA /// SLC35F6
204963_at,AL136756,SSPN
204965_at,NM_000583,GC
204966_at,NM_001703,BAI2
204967_at,NM_001649,SHROOM2
204968_at,NM_021184,C6orf47
204969_s_at,NM_002906,RDX
204970_s_at,NM_002359,MAFG
204971_at,NM_005213,CSTA
204972_at,NM_016817,OAS2
204973_at,NM_000166,GJB1
204974_at,AA988241,RAB3A
204975_at,NM_001424,EMP2
204976_s_at,AK023637,AMMECR1
204977_at,NM_004398,DDX10
204978_at,NM_007056,CLASRP
204979_s_at,NM_007341,SH3BGR
204980_at,NM_004898,CLOCK
204981_at,NM_002555,SLC22A18
204982_at,NM_014776,GIT2
204983_s_at,AF064826,GPC4
204986_s_at,NM_016151,TAOK2
204987_at,NM_002216,ITIH2
204990_s_at,NM_000213,ITGB4
204991_s_at,NM_000268,NF2
204992_s_at,NM_002628,PFN2
204993_at,NM_002073,GNAZ
204994_at,NM_002463,MX2
204995_at,AL567411,CDK5R1
204998_s_at,NM_012068,ATF5
205000_at,NM_004660,DDX3Y
205004_at,NM_017544,NKRF
205005_s_at,AW293531,NMT2
205007_s_at,AI478592,CIB2
205009_at,NM_003225,TFF1
205011_at,NM_014622,VWA5A
205012_s_at,NM_005326,HAGH
205013_s_at,NM_000675,ADORA2A /// SPECC1L-ADORA2A
205014_at,NM_005130,FGFBP1
205016_at,NM_003236,TGFA
205018_s_at,NM_005757,MBNL2
205019_s_at,NM_004624,VIPR1
205020_s_at,NM_005738,ARL4A
205022_s_at,NM_005197,FOXN3
205024_s_at,NM_002875,RAD51
205025_at,NM_005341,ZBTB48
205026_at,NM_012448,STAT5B
205027_s_at,NM_005204,MAP3K8
205030_at,NM_001446,FABP7
205031_at,NM_001406,EFNB3
205032_at,NM_002203,ITGA2
205033_s_at,NM_004084,DEFA1 /// DEFA1B /// DEFA3
205034_at,NM_004702,CCNE2
205035_at,NM_004715,CTDP1
205036_at,NM_007080,LSM6
205037_at,NM_006860,IFT27
205039_s_at,NM_006060,IKZF1
205041_s_at,NM_000607,ORM1 /// ORM2
205042_at,NM_005476,GNE
205043_at,NM_000492,CFTR
205044_at,NM_014211,GABRP
205046_at,NM_001813,CENPE
205047_s_at,NM_001673,ASNS
205048_s_at,NM_003832,PSPH
205049_s_at,NM_001783,CD79A
205050_s_at,NM_012324,MAPK8IP2
205051_s_at,NM_000222,KIT
205052_at,NM_001698,AUH
205053_at,NM_000946,PRIM1
205054_at,NM_004543,NEB
205055_at,NM_002208,ITGAE
205056_s_at,NM_019858,GPR162
205059_s_at,NM_000203,IDUA
205060_at,NM_003631,PARG
205062_x_at,NM_002892,ARID4A
205063_at,NM_003616,GEMIN2
205064_at,NM_003125,SPRR1B
205066_s_at,NM_006208,ENPP1
205070_at,NM_019071,ING3
205072_s_at,NM_022406,XRCC4
205073_at,NM_000775,CYP2J2
205074_at,NM_003060,SLC22A5
205075_at,NM_000934,SERPINF2
205076_s_at,NM_006697,MTMR11
205079_s_at,NM_003829,MPDZ
205080_at,NM_000965,RARB
205081_at,NM_001311,CRIP1
205084_at,NM_018844,BCAP29
205085_at,NM_004153,ORC1
205088_at,NM_005491,MAMLD1
205089_at,NM_003416,ZNF7
205090_s_at,NM_016256,NAGPA
205094_at,NM_000286,PEX12
205097_at,AI025519,SLC26A2
205098_at,AI421071,CCR1
205100_at,NM_005110,GFPT2
205102_at,NM_005656,TMPRSS2
205103_at,NM_006365,C1orf61
205104_at,NM_014723,SNPH
205105_at,NM_002372,MAN2A1
205107_s_at,NM_005227,EFNA4
205108_s_at,NM_000384,APOB
205110_s_at,NM_004114,FGF13
205111_s_at,NM_016341,PLCE1
205113_at,NM_005382,NEFM
205114_s_at,NM_002983,CCL3 /// CCL3L1 /// CCL3L3
205116_at,NM_000426,LAMA2
205117_at,X59065,FGF1
205119_s_at,NM_002029,FPR1
205120_s_at,U29586,SGCB
205122_at,BF439316,MSANTD3-TMEFF1 /// TMEFF1
205124_at,NM_005919,MEF2B /// MEF2BNB /// MEF2BNB-MEF2B
205125_at,NM_006225,PLCD1
205126_at,NM_006296,VRK2
205129_at,NM_006993,NPM3
205130_at,NM_014226,MOK
205131_x_at,NM_002975,CLEC11A
205132_at,NM_005159,ACTC1
205133_s_at,NM_002157,HSPE1
205134_s_at,AW593143,NUFIP1
205139_s_at,NM_005715,UST
205140_at,NM_003838,FPGT
205141_at,NM_001145,ANG
205142_x_at,NM_000033,ABCD1
205143_at,NM_004386,NCAN
205145_s_at,NM_002477,MYL5
205148_s_at,AA071195,CLCN4
205152_at,AI003579,SLC6A1
205154_at,NM_006338,LRRN2
205155_s_at,NM_006946,SPTBN2
205157_s_at,NM_000422,JUP /// KRT17
205158_at,NM_002937,RNASE4
205159_at,AV756141,CSF2RB
205161_s_at,NM_003847,PEX11A
205162_at,NM_000082,ERCC8
205163_at,NM_013292,MYLPF
205166_at,NM_004055,CAPN5
205167_s_at,NM_001790,CDC25C
205168_at,NM_006182,DDR2
205169_at,NM_005057,RBBP5
205170_at,NM_005419,STAT2
205171_at,NM_002830,PTPN4
205174_s_at,NM_012413,QPCT
205175_s_at,NM_000221,KHK
205176_s_at,NM_014288,ITGB3BP
205177_at,NM_003281,TNNI1
205178_s_at,NM_006910,RBBP6
205180_s_at,NM_001109,ADAM8
205181_at,NM_006299,ZSCAN9
205182_s_at,NM_014347,ZNF324
205184_at,NM_004485,GNG4
205185_at,NM_006846,SPINK5
205186_at,NM_003462,DNALI1
205187_at,AF010601,SMAD5
205189_s_at,NM_000136,FANCC
205190_at,NM_002670,PLS1
205191_at,NM_006915,RP2
205192_at,NM_003954,MAP3K14
205194_at,NM_004577,PSPH
205198_s_at,NM_000052,ATP7A
205199_at,NM_001216,CA9
205200_at,NM_003278,CLEC3B /// EXOSC7
205201_at,NM_000168,GLI3
205202_at,NM_005389,PCMT1
205204_at,NM_021077,NMB
205205_at,NM_006509,RELB
205206_at,NM_000216,KAL1
205207_at,NM_000600,IL6
205208_at,NM_012190,ALDH1L1
205210_at,NM_004257,TGFBRAP1
205211_s_at,NM_004292,RIN1
205214_at,NM_004226,STK17B
205215_at,NM_007212,RNF2
205216_s_at,NM_000042,APOH
205218_at,NM_006466,POLR3F
205219_s_at,NM_002044,GALK2
205220_at,NM_006018,HCAR3
205222_at,NM_001966,EHHADH
205224_at,NM_017503,SURF2
205225_at,NM_000125,ESR1
205226_at,NM_006207,PDGFRL
205227_at,NM_002182,IL1RAP
205229_s_at,AA669336,COCH
205231_s_at,NM_005670,EPM2A
205232_s_at,U89386,PAFAH2
205234_at,NM_004696,SLC16A4
205235_s_at,NM_016195,KIF20B
205236_x_at,NM_003102,SOD3
205237_at,NM_002003,FCN1
205239_at,NM_001657,AREG
205240_at,NM_013296,GPSM2
205241_at,NM_005138,SCO2
205242_at,NM_006419,CXCL13
205243_at,AW466889,SLC13A3
205245_at,NM_016948,PARD6A
205246_at,NM_002618,PEX13
205247_at,AI743713,NOTCH4
205248_at,NM_005128,DOPEY2
205249_at,NM_000399,EGR2
205251_at,NM_022817,PER2
205253_at,NM_002585,PBX1
205255_x_at,NM_003202,TCF7
205257_s_at,NM_001635,AMPH
205258_at,NM_002193,INHBB
205259_at,NM_000901,NR3C2
205260_s_at,NM_001107,ACYP1
205261_at,NM_002630,PGC
205263_at,AF082283,BCL10
205264_at,NM_012099,CD3EAP
205265_s_at,NM_005876,LOC100996693 /// SPEG
205266_at,NM_002309,LIF
205267_at,NM_006235,LOC101928620 /// POU2AF1
205269_at,AI123251,LCP2
205271_s_at,NM_012119,CDK20
205272_s_at,NM_006250,PRH1 /// PRH1-PRR4 /// PRH2
205274_at,U87964,GTPBP1
205277_at,NM_012231,PRDM2
205278_at,NM_000817,GAD1
205279_s_at,AF094754,GLRB
205281_s_at,NM_002641,PIGA
205282_at,NM_004631,LRP8
205283_at,NM_006731,FKTN
205286_at,U85658,TFAP2C
205288_at,NM_003672,CDC14A
205289_at,AA583044,BMP2
205291_at,NM_000878,IL2RB
205292_s_at,NM_002137,HNRNPA2B1
205294_at,NM_017450,BAIAP2
205295_at,NM_001825,CKMT2
205296_at,AL365505,RBL1
205297_s_at,NM_000626,CD79B
205298_s_at,W58757,BTN2A2
205300_s_at,NM_022717,SNRNP35
205302_at,NM_000596,IGFBP1
205304_s_at,NM_004982,KCNJ8
205309_at,NM_014474,SMPDL3B
205311_at,NM_000790,DDC
205312_at,NM_003120,SPI1
205313_at,NM_000458,HNF1B
205315_s_at,NM_006750,SNTB2
205317_s_at,NM_021082,SLC15A2
205318_at,NM_004984,KIF5A
205319_at,NM_005672,PSCA
205320_at,NM_005883,APC2
205321_at,NM_001415,EIF2S3
205323_s_at,NM_005955,MTF1
205324_s_at,NM_012280,FTSJ1
205326_at,NM_005856,RAMP3
205327_s_at,NM_001616,ACVR2A
205328_at,NM_006984,CLDN10
205330_at,NM_002430,MN1
205333_s_at,NM_005133,RCE1
205334_at,NM_006271,S100A1
205335_s_at,NM_003135,SRP19
205336_at,NM_002854,PVALB
205338_s_at,NM_001922,DCT
205339_at,NM_003035,STIL
205341_at,NM_014601,EHD2
205345_at,NM_000465,BARD1
205346_at,NM_006927,ST3GAL2
205347_s_at,NM_021992,TMSB15A /// TMSB15B
205348_s_at,NM_004411,DYNC1I1
205349_at,NM_002068,GNA15
205350_at,NM_004378,CRABP1
205351_at,NM_000821,GGCX
205352_at,NM_005025,SERPINI1
205354_at,NM_000156,GAMT
205355_at,NM_001609,ACADSB
205356_at,NM_003940,USP13
205357_s_at,NM_000685,AGTR1
205358_at,NM_000826,GRIA2
205359_at,NM_004274,AKAP6
205361_s_at,AI718295,PFDN4
205363_at,NM_003986,BBOX1
205364_at,NM_003500,ACOX2
205366_s_at,NM_018952,HOXB6
205367_at,NM_020979,SH2B2
205371_s_at,M27093,DBT
205372_at,NM_002655,PLAG1
205373_at,NM_004389,CTNNA2
205374_at,NM_003063,SLN
205375_at,NM_005586,MDFI
205376_at,NM_003866,INPP4B
205377_s_at,AI190022,ACHE
205379_at,NM_001236,CBR3
205380_at,NM_002614,PDZK1
205381_at,NM_005824,LRRC17
205382_s_at,NM_001928,CFD
205384_at,NM_005031,FXYD1
205386_s_at,NM_002392,MDM2
205387_s_at,NM_000737,CGB /// CGB1 /// CGB5 /// CGB7 /// CGB8
205388_at,NM_003279,TNNC2
205392_s_at,NM_004166,CCL14 /// CCL15-CCL14
205393_s_at,NM_001274,CHEK1
205395_s_at,NM_005590,MRE11A
205396_at,BF971416,SMAD3
205399_at,NM_004734,DCLK1
205401_at,NM_003659,AGPS
205402_x_at,NM_002770,PRSS2
205403_at,NM_004633,IL1R2
205404_at,NM_005525,HSD11B1
205405_at,NM_003966,SEMA5A
205406_s_at,NM_017425,SPA17
205407_at,NM_021111,RECK
205408_at,NM_004641,MLLT10
205409_at,NM_005253,FOSL2
205411_at,NM_006282,STK4
205412_at,NM_000019,ACAT1
205413_at,NM_001584,MPPED2
205415_s_at,AI888099,ATXN3
205417_s_at,NM_004393,DAG1
205418_at,NM_002005,FES
205419_at,NM_004951,GPR183
205420_at,NM_000288,PEX7
205421_at,NM_021977,SLC22A3
205422_s_at,NM_004791,ITGBL1
205423_at,NM_001127,AP1B1
205425_at,NM_005338,HIP1
205427_at,NM_005649,ZNF354A
205428_s_at,NM_001740,CALB2
205429_s_at,NM_016447,MPP6
205431_s_at,NM_021073,BMP5
205432_at,NM_002557,OVGP1
205433_at,NM_000055,BCHE
205437_at,NM_006385,ZNF211
205439_at,NM_000854,GSTT2
205440_s_at,NM_000909,NPY1R
205443_at,NM_003082,SNAPC1
205444_at,NM_004320,ATP2A1
205445_at,NM_000948,PRL
205446_s_at,NM_001880,ATF2
205450_at,NM_002637,PHKA1
205451_at,NM_005938,FOXO4
205452_at,NM_004855,PIGB
205453_at,NM_002145,HOXB2
205454_at,BC001777,HPCA
205455_at,NM_002447,MST1R
205456_at,NM_000733,CD3E
205458_at,BG034972,MC1R
205461_at,NM_006861,RAB35
205463_s_at,NM_002607,PDGFA
205464_at,NM_000336,SCNN1B
205466_s_at,NM_005114,HS3ST1
205467_at,NM_001230,CASP10
205469_s_at,NM_002200,IRF5
205470_s_at,NM_006853,KLK11
205471_s_at,AW772082,DACH1
205473_at,NM_001692,ATP6V1B1
205474_at,NM_015986,CRLF3
205475_at,NM_007281,SCRG1
205476_at,NM_004591,CCL20
205477_s_at,NM_001633,AMBP
205478_at,NM_006741,PPP1R1A
205479_s_at,NM_002658,PLAU
205480_s_at,NM_006759,UGP2
205482_x_at,NM_013306,SNX15
205483_s_at,NM_005101,ISG15
205484_at,NM_014450,SIT1
205485_at,NM_000540,RYR1
205486_at,NM_007170,TESK2
205488_at,NM_006144,GZMA
205489_at,NM_001888,CRYM
205493_s_at,NM_006426,DPYSL4
205497_at,NM_007147,ZNF175
205498_at,NM_000163,GHR
205499_at,NM_014467,SRPX2
205500_at,NM_001735,C5
205501_at,AI143879,PDE10A
205502_at,NM_000102,CYP17A1
205503_at,NM_005401,PTPN14
205504_at,NM_000061,BTK
205505_at,NM_001490,GCNT1
205506_at,NM_007127,VIL1
205508_at,NM_001037,SCN1B
205509_at,NM_001871,CPB1
205512_s_at,NM_004208,AIFM1
205513_at,NM_001062,TCN1
205515_at,NM_003619,PRSS12
205517_at,AV700724,GATA4
205518_s_at,NM_003570,CMAHP
205520_at,NM_003162,STRN
205521_at,BF511976,EXOG
205522_at,NM_014621,
205523_at,U43328,HAPLN1
205525_at,NM_018495,CALD1
205526_s_at,NM_007044,KATNA1
205529_s_at,NM_004349,RUNX1T1
205530_at,NM_004453,ETFDH
205531_s_at,NM_013267,GLS2
205536_at,NM_003371,VAV2
205538_at,NM_003389,CORO2A
205539_at,NM_006576,AVIL
205540_s_at,NM_016656,RRAGB
205542_at,NM_012449,STEAP1
205543_at,NM_014278,HSPA4L
205544_s_at,NM_001877,CR2
205546_s_at,NM_003331,TYK2
205547_s_at,NM_003186,TAGLN
205548_s_at,NM_006806,BTG3
205549_at,NM_006198,PCP4
205550_s_at,NM_004899,BRE
205552_s_at,NM_002534,OAS1
205553_s_at,NM_003476,CSRP3
205554_s_at,NM_004944,DNASE1L3
205555_s_at,D31771,MSX2
205557_at,NM_001725,BPI /// LOC149684
205558_at,NM_004620,TRAF6
205559_s_at,NM_006200,PCSK5
205562_at,NM_006414,RPP38
205563_at,NM_002256,KISS1
205565_s_at,NM_000144,FXN
205566_at,NM_007011,ABHD2
205567_at,NM_003654,CHST1
205568_at,NM_020980,AQP9
205569_at,NM_014398,LAMP3
205570_at,NM_005028,PIP4K2A
205571_at,NM_015929,LIPT1
205573_s_at,NM_015976,SNX7
205575_at,NM_006688,C1QL1
205576_at,NM_000185,SERPIND1
205577_at,NM_005609,PYGM
205578_at,NM_004560,ROR2
205579_at,NM_000861,HRH1
205581_s_at,NM_000603,NOS3
205582_s_at,NM_004121,GGT5
205585_at,NM_001987,ETV6
205586_x_at,NM_003378,VGF
205588_s_at,NM_007045,FGFR1OP
205589_at,NM_000258,MYL3
205590_at,NM_005739,RASGRP1
205591_at,NM_006334,OLFM1
205592_at,X77737,SLC4A1
205593_s_at,NM_002606,PDE9A
205595_at,NM_001944,DSG3
205596_s_at,AY014180,SMURF2
205597_at,NM_025257,SLC44A4
205598_at,NM_005879,TRAIP
205599_at,NM_005658,TRAF1
205601_s_at,NM_002147,HOXB5
205602_x_at,NM_002783,PSG7
205604_at,AI432470,HOXD9
205610_at,NM_003803,MYOM1
205611_at,NM_003809,TNFSF12 /// TNFSF12-TNFSF13
205612_at,NM_007351,MMRN1
205613_at,NM_016524,SYT17
205615_at,NM_001868,CPA1
205616_at,AW134812,GALNT8 /// KCNA6
205617_at,NM_000951,PRRG2
205618_at,NM_000950,PRRG1
205619_s_at,NM_004527,MEOX1
205620_at,NM_000504,F10
205621_at,NM_006020,ALKBH1
205622_at,NM_003080,SMPD2
205623_at,NM_000691,ALDH3A1
205624_at,NM_001870,CPA3
205626_s_at,NM_004929,CALB1
205627_at,NM_001785,CDA
205628_at,NM_000947,PRIM2
205630_at,NM_000756,CRH
205632_s_at,NM_003558,PIP5K1B
205633_s_at,NM_000688,ALAS1
205635_at,NM_003947,KALRN
205636_at,AF036269,SH3GL3
205638_at,NM_001704,BAI3
205639_at,NM_001637,AOAH
205642_at,NM_007018,CNTRL
205644_s_at,NM_003096,SNRPG
205645_at,NM_004726,REPS2
205646_s_at,NM_000280,PAX6
205647_at,NM_002879,RAD52
205648_at,NM_003391,WNT2
205650_s_at,NM_021871,FGA
205651_x_at,NM_007023,RAPGEF4
205653_at,NM_001911,CTSG
205654_at,NM_000715,C4BPA
205655_at,NM_002393,MDM4
205656_at,NM_014459,PCDH17
205657_at,NM_012205,HAAO
205658_s_at,NM_003086,SNAPC4
205659_at,NM_014707,HDAC9
205663_at,NM_020528,PCBP3
205664_at,NM_012311,KIN
205665_at,NM_006675,TSPAN9
205666_at,NM_002021,FMO1
205667_at,NM_000553,WRN
205668_at,NM_002349,LY75
205669_at,NM_004540,NCAM2
205670_at,NM_004861,GAL3ST1
205671_s_at,NM_002120,HLA-DOB
205672_at,NM_000380,XPA
205675_at,AI623321,MTTP
205676_at,NM_000785,CYP27B1
205677_s_at,NM_005887,DLEU1
205678_at,NM_004644,AP3B2
205680_at,NM_002425,MMP10
205681_at,NM_004049,BCL2A1
205683_x_at,NM_003294,TPSAB1
205686_s_at,NM_006889,CD86
205687_at,NM_019116,UBFD1
205688_at,NM_003223,TFAP4
205690_s_at,NM_003910,BUD31
205691_at,NM_004209,SYNGR3
205692_s_at,NM_001775,CD38
205693_at,NM_006757,TNNT3
205694_at,NM_000550,TYRP1
205695_at,NM_006843,SDS
205696_s_at,NM_005264,GFRA1
205697_at,NM_006998,SCGN
205698_s_at,NM_002758,MAP2K6
205701_at,NM_006390,IPO8
205707_at,NM_014339,IL17RA
205708_s_at,AI051254,TRPM2
205709_s_at,NM_001263,CDS1
205710_at,NM_004525,LRP2
205712_at,NM_002839,PTPRD
205713_s_at,NM_000095,COMP
205715_at,NM_004334,BST1
205716_at,NM_018843,SLC25A40
205718_at,NM_000889,ITGB7
205719_s_at,NM_000277,LOC101929036 /// PAH
205720_at,NM_000939,POMC
205722_s_at,NM_001495,GFRA2
205723_at,NM_001842,CNTFR
205724_at,NM_000299,PKP1
205725_at,NM_003357,SCGB1A1
